edge_type,src_id,src_name,dst_id,dst_name,src_group,dst_group,same_group,relationship,status,amount_wan,prior_actual_wan,category_text,period,issuer_id,announcement_date,source_doc,source_page,evidence_text,src_matched_by,dst_matched_by,src_scope,dst_scope,basis
guarantee,N_江阴兴澄特种钢铁有限公司,江阴兴澄特种钢铁有限公司,N_上海中特泰富钢管有限公司,上海中特泰富钢管有限公司,,G_CITIC,0,wholly_owned_subsidiary,guarantee_limit,250000.0,,,2024-12-04,000708,2024-12-04,outputs/analysis_freeze/guarantee/analysis_001_000708_guarantee_quota.json,1,公司子公司江阴兴澄特种钢铁有限公司（以下简称“兴澄特钢”）拟为公司子公司上海中特泰富钢管有限公司（以下简称“泰富钢管”）在向银行等金融机构申请的授信额度内提供不超过25 亿元人民币的担保额度，有效期自公司2024 年第二次临时股东大会审议通过之日起至满十二个月止。,unresolved,relationship,self,self,disclosed
guarantee,N_江阴兴澄特种钢铁有限公司,江阴兴澄特种钢铁有限公司,N_湖北中航冶钢特种钢材有限公司,湖北中航冶钢特种钢材有限公司,,,0,associate_or_joint_venture,guarantee_limit,12000.0,,joint_and_several,2024-03-13,000708,2024-03-13,outputs/analysis_freeze/guarantee/analysis_002_000708_guarantee_related.json,1,"公司的全资子公司江阴兴澄特种钢铁有限公司（以下简称“兴澄特钢”）拟对公司参股公司湖北中航冶钢特种钢材有限公司（以下简称“湖北中航”）提供不超过人民币1.2 亿元融资担保，具体情况如下：
公司子公司兴澄特钢对参股公司湖北中航持股40%，湖北中航因经营发展所需，拟向银行等金融机构申请不超过人民币3 亿元授信。授信需要股东方兴澄特钢与中国航空工业供销中南有限公司（以下简称“中航中南”）按持股比例提供担保。其中公司子公司兴澄特钢拟按照持股比例为湖北中航提供不超过人民币1.2 亿元连带责任担保，中航中南为湖北中航提供同等条件同比例不超过人民币1.8 亿元连带责任担保，担保期限为经公司股东大会审议后签署相关协议后的三年。",unresolved,unresolved,self,self,disclosed
guarantee,N_江阴兴澄特种钢铁有限公司,江阴兴澄特种钢铁有限公司,N_湖北中航冶钢特种钢材有限公司,湖北中航冶钢特种钢材有限公司,,,0,associate_or_joint_venture,guarantee_provided,4000.0,,joint_and_several,2024-03-13,000708,2024-03-13,outputs/analysis_freeze/guarantee/analysis_003_000708_guarantee_related.json,1,"公司的全资子公司江阴兴澄特种钢铁有限公司（以下简称“兴澄特钢”）拟对公司参股公司湖北中航冶钢特种钢材有限公司（以下简称“湖北中航”）提供人民币4,000 万元担保，具体情况如下：
湖北中航向广发银行股份有限公司武汉分行（以下简称“广发银行”） 
申请综合授信1 亿元，本次授信需要公司全资子公司兴澄特钢与湖北中
航另一股东中国航空工业供销中南有限公司（以下简称“中航中南”） 
分别按持股比例提供担保，三方将于近期在湖北武汉签署《最高额保证
合同》，其中兴澄特钢为湖北中航在广发银行申请的4,000 万元综合授
信提供连带责任保证担保，中航中南为湖北中航在广发银行申请的 
6,000 万元综合授信提供同等条件担保。担保期限为主债务合同债务期
限届满之日起三年。本次担保不涉及反担保。",unresolved,unresolved,self,self,disclosed
guarantee,N_江阴兴澄特种钢铁有限公司,江阴兴澄特种钢铁有限公司,N_湖北中航冶钢特种钢材有限公司,湖北中航冶钢特种钢材有限公司,,,0,associate_or_joint_venture,guarantee_limit,12000.0,,joint_and_several,2025-03-20,000708,2025-03-20,outputs/analysis_freeze/guarantee/analysis_004_000708_guarantee_related.json,1,"公司的全资子公司江阴兴澄特种钢铁有限公司（以下简称“兴澄特钢”）拟对公司参股公司湖北中航冶钢特种钢材有限公司（以下简称“湖北中航”）提供不超过人民币1.2 亿元融资担保，具体情况如下：
湖北中航因经营发展所需，拟向银行等金融机构申请不超过人民币3 亿元授信。本次授信需要股东方兴澄特钢与中国航空工业供销中南有限公司（以下简称“中航中南”）按各自持股比例提供担保。公司子公司兴澄特钢拟按其持股比例为湖北中航提供不超过人民币1.2 亿元连带责任担保，中航中南为湖北中航提供同等条件同比例不超过人民币1.8亿元连带责任担保，担保期限为经公司股东大会审议后签署相关协议后的三年。",unresolved,unresolved,self,self,disclosed
guarantee,000932,湖南华菱钢铁股份有限公司,E_XIANGGANG,湖南华菱湘潭钢铁有限公司,G_HUNAN,G_HUNAN,1,wholly_owned_subsidiary,guarantee_limit,799900.0,,,2025-03-20,000932,2025-03-20,outputs/analysis_freeze/guarantee/analysis_018_000932_guarantee_quota.json,2,"华菱钢铁
湖南华菱湘潭
钢铁有限公司 
100% 
51.03% 
0 
79.99 
12.28% 
否",exact,exact,self,self,disclosed
guarantee,000932,湖南华菱钢铁股份有限公司,E_LIANGANG,湖南华菱涟源钢铁有限公司,G_HUNAN,G_HUNAN,1,wholly_owned_subsidiary,guarantee_limit,1016000.0,,,2025-03-20,000932,2025-03-20,outputs/analysis_freeze/guarantee/analysis_018_000932_guarantee_quota.json,2,"华菱钢铁
湖南华菱涟源
钢铁有限公司 
100% 
62.01% 
0 
101.6 
15.60% 
否",exact,exact,self,self,disclosed
guarantee,000932,湖南华菱钢铁股份有限公司,E_HENGGANG,衡阳华菱钢管有限公司,G_HUNAN,G_HUNAN,1,controlled_subsidiary,guarantee_limit,520000.0,,,2025-03-20,000932,2025-03-20,outputs/analysis_freeze/guarantee/analysis_018_000932_guarantee_quota.json,2,"华菱钢铁
衡阳华菱钢管
有限公司 
86% 
58.20% 
0 
52.00  
7.98% 
否",exact,exact,self,self,disclosed
guarantee,000932,湖南华菱钢铁股份有限公司,E_HENGGANG_ROLL,衡阳华菱连轧管有限公司,G_HUNAN,G_HUNAN,1,controlled_subsidiary,guarantee_limit,80400.0,,,2025-03-20,000932,2025-03-20,outputs/analysis_freeze/guarantee/analysis_018_000932_guarantee_quota.json,2,"华菱钢铁
衡阳华菱连轧
管有限公司 
86% 
41.09% 
0 
8.04 
1.23% 
否",exact,exact,self,self,disclosed
guarantee,000932,湖南华菱钢铁股份有限公司,N_深圳华菱商业保理有限公司,深圳华菱商业保理有限公司,G_HUNAN,G_HUNAN,1,controlled_subsidiary,guarantee_limit,152000.0,,,2025-03-20,000932,2025-03-20,outputs/analysis_freeze/guarantee/analysis_018_000932_guarantee_quota.json,2,"华菱钢铁
深圳华菱商业
保理有限公司 
51% 
78.00% 
0 
15.2 
2.33% 
否",exact,group_token,self,self,disclosed
guarantee,000959,北京首钢股份有限公司,N_上海首钢钢铁贸易有限公司,上海首钢钢铁贸易有限公司,G_SHOUGANG,G_SHOUGANG,1,wholly_owned_subsidiary,guarantee_limit,8000.0,,joint_and_several,2025-04-16,000959,2025-04-16,outputs/analysis_freeze/guarantee/analysis_021_000959_guarantee_related.json,3,"担保
方 
被担保方 
担保方
持股比
例 
被担保
方最近
一期资
产负债
率 
截至2025
年3 月31
日担保余
额 
本次担
保额度 
担保额
度占上
市公司
最近一
期净资
产比例 
是否
关联
担保 
首钢
股份 
上海钢贸 
100% 
98% 
11,295  
8,000  
0.16% 
否",exact,group_token,self,self,disclosed
guarantee,000959,北京首钢股份有限公司,N_宁波首钢浙金钢材有限公司,宁波首钢浙金钢材有限公司,G_SHOUGANG,G_SHOUGANG,1,associate_or_joint_venture,guarantee_limit,4400.0,,joint_and_several,2025-04-16,000959,2025-04-16,outputs/analysis_freeze/guarantee/analysis_021_000959_guarantee_related.json,3,"担保
方 
被担保方 
担保方
持股比
例 
被担保
方最近
一期资
产负债
率 
截至2025
年3 月31
日担保余
额 
本次担
保额度 
担保额
度占上
市公司
最近一
期净资
产比例 
是否
关联
担保 
首钢
股份 
宁波浙金 
40% 
72% 
2,507  
4,400  
0.09% 
是",exact,group_token,self,self,disclosed
guarantee,000959,北京首钢股份有限公司,N_首钢(青岛)钢业有限公司,首钢(青岛)钢业有限公司,G_SHOUGANG,G_SHOUGANG,1,associate_or_joint_venture,guarantee_limit,21000.0,,joint_and_several,2025-04-16,000959,2025-04-16,outputs/analysis_freeze/guarantee/analysis_021_000959_guarantee_related.json,3,"担保
方 
被担保方 
担保方
持股比
例 
被担保
方最近
一期资
产负债
率 
截至2025
年3 月31
日担保余
额 
本次担
保额度 
担保额
度占上
市公司
最近一
期净资
产比例 
是否
关联
担保 
首钢
股份 
青岛钢业 
35% 
87% 
17,395  
21,000  
0.42% 
是",exact,group_token,self,self,disclosed
guarantee,000959,北京首钢股份有限公司,N_迁安中化煤化工有限责任公司,迁安中化煤化工有限责任公司,G_SHOUGANG,,0,associate_or_joint_venture,guarantee_limit,35000.0,,joint_and_several,2025-05-16,000959,2025-05-16,outputs/analysis_freeze/guarantee/analysis_022_000959_guarantee_related.json,2,"二、担保额度预计 
单位：万元 
担保方 
被担保
方 
担保
方持
股比
例 
被担保
方最近
一期资
产负债
率 
截至
2025 年
3 月31
日担保
余额 
本次担
保额度 
担保额
度占上
市公司
最近一
期净资
产比例 
是否关
联担保 
首钢股份 
中化公司 49.82% 
77.75% 
0 
35,000 
0.71% 
是",exact,unresolved,self,self,disclosed
guarantee,000959,北京首钢股份有限公司,N_迁安中化煤化工有限责任公司,迁安中化煤化工有限责任公司,G_SHOUGANG,,0,associate_or_joint_venture,guarantee_limit,35000.0,,joint_and_several,2026-05-29,000959,2026-05-29,outputs/analysis_freeze/guarantee/analysis_023_000959_guarantee_related.json,3,"首钢
股份
中化公司
49.82%
74%
35,000
35,000
0.70%
是",exact,unresolved,self,self,disclosed
guarantee,000959,北京首钢股份有限公司,N_宁波首钢浙金钢材有限公司,宁波首钢浙金钢材有限公司,G_SHOUGANG,G_SHOUGANG,1,associate_or_joint_venture,guarantee_limit,2200.0,,joint_and_several,2026-05-29,000959,2026-05-29,outputs/analysis_freeze/guarantee/analysis_023_000959_guarantee_related.json,3,"宁波浙金
40%
73%
2,200
2,200
0.04%
是",exact,group_token,self,self,disclosed
guarantee,000959,北京首钢股份有限公司,N_首钢(青岛)钢业有限公司,首钢（青岛）钢业有限公司,G_SHOUGANG,G_SHOUGANG,1,associate_or_joint_venture,guarantee_limit,21000.0,,joint_and_several,2026-05-29,000959,2026-05-29,outputs/analysis_freeze/guarantee/analysis_023_000959_guarantee_related.json,3,"青岛钢业
35%
89%
20,615
21,000
0.42%
是",exact,group_token,self,self,disclosed
guarantee,N_江苏沙钢集团淮钢特钢股份有限公司,江苏沙钢集团淮钢特钢股份有限公司,N_江苏利淮钢铁有限公司,江苏利淮钢铁有限公司,G_SHAGANG,G_SHAGANG,1,controlled_subsidiary,guarantee_limit,88000.0,,,2024-05-21,002075,2024-05-21,outputs/analysis_freeze/guarantee/analysis_025_002075_guarantee_individual.json,1,"淮钢公司为江苏利淮提供的担保期限即将到期，为支持江苏利淮生产经营业务的正常开展，淮钢公司同意为江苏利淮提供不超过88,000 万元的授信担保额度，担保期限自淮钢公司2023 年度股东大会审议通过之日起至2024 年度股东大会召开之日时止。",group_token,relationship,self,self,disclosed
guarantee,N_江苏沙钢集团淮钢特钢股份有限公司,江苏沙钢集团淮钢特钢股份有限公司,N_江苏利淮钢铁有限公司,江苏利淮钢铁有限公司,G_SHAGANG,G_SHAGANG,1,controlled_subsidiary,guarantee_limit,68000.0,,,2025-05-07,002075,2025-05-07,outputs/analysis_freeze/guarantee/analysis_026_002075_guarantee_individual.json,1,"淮钢公司为江苏利淮提供的担保期限即将到期，为支持江苏利淮生产经营业务的正常开展，淮钢公司同意为江苏利淮提供不超过68,000 万元的授信担保额度，担保期限自淮钢公司2024 年度股东大会审议通过之日起至2025 年度股东大会召开之日时止。",group_token,relationship,self,self,disclosed
guarantee,N_江苏沙钢集团淮钢特钢股份有限公司,江苏沙钢集团淮钢特钢股份有限公司,N_江苏利淮钢铁有限公司,江苏利淮钢铁有限公司,G_SHAGANG,G_SHAGANG,1,controlled_subsidiary,guarantee_limit,68000.0,,,2026-05-27,002075,2026-05-27,outputs/analysis_freeze/guarantee/analysis_027_002075_guarantee_individual.json,1,"近日，江苏沙钢股份有限公司（以下简称“公司”）合并范围内控股子公司
江苏沙钢集团淮钢特钢股份有限公司（以下简称“淮钢公司”）为满足其控股子
公司江苏利淮钢铁有限公司（以下简称“江苏利淮”）生产经营发展的需求，同
意为其提供不超过68,000 万元的授信担保额度，担保期限自淮钢公司2025 年度
股东大会审议通过之日起至2026 年度股东大会召开之日止。",group_token,relationship,self,self,disclosed
guarantee,002110,福建三钢闽光股份有限公司,E_QUANZHOU_MG,福建泉州闽光钢铁有限责任公司,G_FJYJ,G_FJYJ,1,wholly_owned_subsidiary,guarantee_limit,300000.0,,joint_and_several,2025-01-03,002110,2025-01-03,outputs/analysis_freeze/guarantee/analysis_030_002110_guarantee_quota.json,1,"序
号 
担保人 
被担保对象 
公司持股比例（%） 
拟设定担保额度
（万元） 
1 
三钢闽光 
福建泉州闽光钢铁有限
责任公司 
100 
300,000",exact,exact,self,self,disclosed
guarantee,002110,福建三钢闽光股份有限公司,E_LUOYUAN_MG,福建罗源闽光钢铁有限责任公司,G_FJYJ,G_FJYJ,1,wholly_owned_subsidiary,guarantee_limit,400000.0,,joint_and_several,2025-01-03,002110,2025-01-03,outputs/analysis_freeze/guarantee/analysis_030_002110_guarantee_quota.json,1,"2 
三钢闽光 
福建罗源闽光钢铁有限
责任公司 
100 
400,000",exact,exact,self,self,disclosed
guarantee,002110,福建三钢闽光股份有限公司,E_MG_YUNSHANG,福建闽光云商有限公司,G_FJYJ,G_FJYJ,1,controlled_subsidiary,guarantee_limit,900000.0,,joint_and_several,2025-01-03,002110,2025-01-03,outputs/analysis_freeze/guarantee/analysis_030_002110_guarantee_quota.json,1,"3 
三钢闽光 
福建闽光云商有限公司 
99.1687 
900,000",exact,exact,self,self,disclosed
guarantee,600010,内蒙古包钢钢联股份有限公司,N_包钢钢业有限公司,包钢钢业有限公司,G_BAOTOU,G_BAOTOU,1,controlled_subsidiary,guarantee_limit,3000.0,,joint_and_several,2025-03-13,600010,2025-03-13,outputs/analysis_freeze/guarantee/analysis_032_600010_guarantee_quota.json,2,"担保
方 
被担
保方 
担保
方持
股比
例 
被担保
方最近
一期资
产负债
率 
截至目
前担保
余额 
本次新
增担保
额度
（亿
元） 
担保额度
占上市公
司最近一
期净资产
比例
（%） 
担保预计
有效期 
是否
关联
担保 
是否有
反担保 
一、对控股子公司的担保预计 
1、资产负债率低于70%的控股子公司 
包钢
股份 
包钢
钢业 
60% 
36.71% 
0 
0.3 
0.06 
自公司股
东大会审
议批准之
日起至下
一年度股
东大会审
议批准新
的担保额
度止 
否 
是",exact,group_token,self,self,disclosed
guarantee,600019,宝山钢铁股份有限公司,N_沙特宝海钢铁公司,沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）,G_BAOWU,,0,associate_or_joint_venture,guarantee_limit,,,joint_and_several,2024-01-29,600019,2024-01-29,outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json,1,公司决定为合资公司按持股比例提供不超过13.3亿美元本金的融资担保，受益人为沙特工业发展基金。,exact,unresolved,self,self,disclosed
guarantee,N_凌钢股份北票保国铁矿有限公司,凌钢股份北票保国铁矿有限公司,600231,凌源钢铁股份有限公司,G_ANSTEEL,G_ANSTEEL,1,wholly_owned_subsidiary,guarantee_released,190000.0,,mortgage,2024-11-14,600231,2024-11-14,outputs/analysis_freeze/guarantee/analysis_043_600231_guarantee_individual.json,1,2022年12月27日，公司全资子公司凌钢股份北票保国铁矿有限公司（简称“保国公司”）与中国民生银行股份有限公司大连分行（简称“民生银行大连分行”）签署了《最高额抵押合同》（公高抵字第ZH22D0000134432号），以其所持有的3宗采矿权为公司与民生银行大连分行签署的在2022年11月30日至2024年11月29日期间发生的、金额为不超过人民币19亿元的《综合授信合同》（公授信字第ZH2200000134432号）项下的债权提供最高额抵押担保。,group_token,exact,self,self,disclosed
guarantee,600231,凌源钢铁股份有限公司,600231,凌源钢铁股份有限公司,G_ANSTEEL,G_ANSTEEL,1,,guarantee_released,190000.0,,pledge,2024-11-14,600231,2024-11-14,outputs/analysis_freeze/guarantee/analysis_043_600231_guarantee_individual.json,1,公司于2022年11月30日与民生银行大连分行签署了《最高额质押合同》（公高质字第ZH22Z0000134432-1号），以所持有的保国公司100%股权为公司的上述19亿元综合授信额度提供最高额质押担保。,exact,exact,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_南京钢铁集团国际经济贸易有限公司,南京钢铁集团国际经济贸易有限公司,G_CITIC,G_CITIC,1,wholly_owned_subsidiary,guarantee_limit,225245.0,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"1 
南钢股份 
南钢国贸 
100% 
77.39% 
 355,080.79  
225,245 
8.49% 
具体担保期限
以实际签署协
议为准。 
否 
否",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_PT.KinRuiNewEnergyTechnologiesIndonesia,PT. KinRui New Energy Technologies Indonesia,G_CITIC,G_CITIC,1,controlled_subsidiary,guarantee_limit,,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"2 
南钢股份 
金瑞新能源 
80% 
77.81% 
145,415.94 
303,440 
11.43% 
以实际发生为准",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_PT.KinXiangNewEnergyTechnologiesIndonesia,PT. KinXiang New Energy Technologies Indonesia,G_CITIC,G_CITIC,1,controlled_subsidiary,guarantee_limit,,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"3 
南钢股份 
金祥新能源 
53% 
76.11% 
134,823.28 
144,000 
5.43% 
以实际发生为准",exact,relationship,self,self,disclosed
guarantee,N_安阳复星合力新材料科技有限公司,安阳复星合力新材料科技有限公司,N_湖南复星合力新材料有限公司,湖南复星合力新材料有限公司,,G_CITIC,0,controlled_subsidiary,guarantee_limit,,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"4 
安阳合力 
湖南合力 
51% 
79.11% 
16,141.10 
7,315 
0.28% 
以实际发生为准",unresolved,relationship,self,self,disclosed
guarantee,N_安阳复星合力新材料科技有限公司,安阳复星合力新材料科技有限公司,N_山西南钢合力新材料科技有限公司,山西南钢合力新材料科技有限公司,,G_CITIC,0,wholly_owned_subsidiary,guarantee_limit,,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"5 
安阳合力 
山西南钢合力 
100% 
75.39% 
- 
500 
0.02% 
否",unresolved,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_安阳复星合力新材料科技有限公司,安阳复星合力新材料科技有限公司,G_CITIC,G_CITIC,1,controlled_subsidiary,guarantee_limit,6000.0,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"1 
南钢股份 
安阳合力科技 
51% 
44.90% 
4,870.00 
6,000 
0.23% 
具体担保期限
以实际签署协
议为准。 
否 
以实际发生为准",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_安阳复星合力新材料股份有限公司,安阳复星合力新材料股份有限公司,G_CITIC,G_CITIC,1,controlled_subsidiary,guarantee_limit,5000.0,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"2 
南钢股份 
安阳合力 
51% 
37.57% 
2,800.00 
5,000 
0.19% 
以实际发生为准",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_南京金博新材料科技有限公司,南京金博新材料科技有限公司,G_CITIC,G_CITIC,1,wholly_owned_subsidiary,guarantee_limit,6000.0,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"3 
南钢股份 
南京金博 
100% 
17.79% 
- 
6,000 
0.23% 
否",exact,relationship,self,self,disclosed
guarantee,N_柏中环境科技(上海)股份有限公司,柏中环境科技（上海）股份有限公司,N_柏中(菏泽)水务有限公司,柏中（菏泽）水务有限公司,,G_CITIC,0,wholly_owned_subsidiary,guarantee_limit,,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"4 
柏中环境 
菏泽水务 
100% 
- 
- 
26,500 
1.00% 
否",unresolved,relationship,self,self,disclosed
guarantee,N_柏中环境科技(上海)股份有限公司,柏中环境科技（上海）股份有限公司,N_淮安柏环环保新材料科技有限公司,淮安柏环环保新材料科技有限公司,,G_CITIC,0,controlled_subsidiary,guarantee_limit,6000.0,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"5 
柏中环境 
柏环环保 
80% 
2.26% 
- 
6,000 
0.23% 
以实际发生为准",unresolved,relationship,self,self,disclosed
guarantee,N_柏中环境科技(上海)股份有限公司,柏中环境科技（上海）股份有限公司,N_柏中环境科技(上海)股份有限公司,柏中环境科技（上海）股份有限公司,,G_CITIC,0,wholly_owned_subsidiary,guarantee_limit,20000.0,,,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_048_600282_guarantee_quota.json,3,"6 
柏中环境（含
其子公司） 
柏中环境（含
其子公司） 
100% 
35.75% 
- 
20,000 
0.75% 
否",unresolved,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_北京南钢钢材销售有限公司,北京南钢钢材销售有限公司,G_CITIC,G_CITIC,1,wholly_owned_subsidiary,guarantee_limit,30000.0,,other,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_049_600282_guarantee_quota.json,1,南京钢铁股份有限公司（以下简称“南钢股份”或“公司”）2025 年度预计为北京南钢、上海南钢销售钢材提供担保，任一时点新增担保总额度不超过3 亿元（人民币，下同）的担保。,exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_上海南钢物资销售有限公司,上海南钢物资销售有限公司,G_CITIC,G_CITIC,1,wholly_owned_subsidiary,guarantee_limit,30000.0,,other,2024-12-27,600282,2024-12-27,outputs/analysis_freeze/guarantee/analysis_049_600282_guarantee_quota.json,2,"南钢股份 上海南钢 
100% 
82.74% 
0 
3亿元 
1.13% 
具体担保期限以实际签署协议为准 
否 
否",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_南京钢铁集团国际经济贸易有限公司,南京钢铁集团国际经济贸易有限公司,G_CITIC,G_CITIC,1,wholly_owned_subsidiary,guarantee_limit,100000.0,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"1
南钢股份
南钢国贸
100%
80.38%
90,550.50
100,000.00
3.84%
具体担保期限以
实际签署协议为
准。
否
否",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_PT.KinRuiNewEnergyTechnologiesIndonesia,PT. KinRui New Energy Technologies Indonesia,G_CITIC,G_CITIC,1,controlled_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"2
南钢股份
金瑞新能源
80%
81.21%
165,928.03
270,000.00
10.37%
以实际发生为准",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_PT.KinXiangNewEnergyTechnologiesIndonesia,PT. KinXiang New Energy Technologies Indonesia,G_CITIC,G_CITIC,1,controlled_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"3
南钢股份
金祥新能源
53%
81.50%
232,498.71
144,000.00
5.53%
以实际发生为准",exact,relationship,self,self,disclosed
guarantee,N_河南南钢合力新材料股份有限公司,河南南钢合力新材料股份有限公司,N_湖南南钢合力新材料有限公司,湖南南钢合力新材料有限公司,,G_CITIC,0,controlled_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"4
河南合力
湖南合力
51%
93.25%
8,832.41
11,500.00
0.44%
以实际发生为准",unresolved,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_河南南钢合力新材料科技有限公司,河南南钢合力新材料科技有限公司,G_CITIC,G_CITIC,1,controlled_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"1
南钢股份
河南合力科技
51%
46.42%
5,500.00
2,500.00
0.10%
具体担保期限以
实际签署协议为
准。
否
以实际发生为准",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_河南南钢合力新材料股份有限公司,河南南钢合力新材料股份有限公司,G_CITIC,G_CITIC,1,controlled_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"2
南钢股份
河南合力
51%
46.68%
3,850.00
2,500.00
0.10%
以实际发生为准",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_SingaporeJintengInternationalPte.Ltd.,Singapore Jinteng International Pte. Ltd.,G_CITIC,G_CITIC,1,wholly_owned_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"3
南钢股份
新加坡金腾
100%
54.12%
-
50,400.00
1.94%
否",exact,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_HongKongJintengDevelopmentLimited,Hong Kong Jinteng Development Limited,G_CITIC,G_CITIC,1,wholly_owned_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"4
南钢股份
香港金腾发展
100%
52.08%
-
43,200.00
1.66%
否",exact,relationship,self,self,disclosed
guarantee,N_柏中环境科技(上海)股份有限公司,柏中环境科技（上海）股份有限公司,N_柏中(菏泽)水务有限公司,柏中（菏泽）水务有限公司,,G_CITIC,0,controlled_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"5
柏中环境
菏泽水务
100%
0.93%
-
28,500.00
1.09%
否",unresolved,relationship,self,self,disclosed
guarantee,N_柏中环境科技(上海)股份有限公司,柏中环境科技（上海）股份有限公司,N_榆林柏美水务有限公司,榆林柏美水务有限公司,,G_CITIC,0,controlled_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"6
柏中环境
榆林柏美
100%
36.00%
-
11,200.00
0.43%
否",unresolved,relationship,self,self,disclosed
guarantee,N_柏中环境科技(上海)股份有限公司,柏中环境科技（上海）股份有限公司,N_柏中环境科技(上海)股份有限公司,柏中环境科技（上海）股份有限公司,,G_CITIC,0,wholly_owned_subsidiary,guarantee_limit,,,,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_050_600282_guarantee_quota.json,3,"7
柏中环境
（含子公
司）
柏中环境（含
子公司）
/
37.40%
-
20,000.00
0.77%
否",unresolved,relationship,self,self,disclosed
guarantee,600282,南京钢铁股份有限公司,N_北京南钢钢材销售有限公司,北京南钢钢材销售有限公司,G_CITIC,G_CITIC,1,wholly_owned_subsidiary,guarantee_limit,30000.0,,other,2026-01-10,600282,2026-01-10,outputs/analysis_freeze/guarantee/analysis_051_600282_guarantee_quota.json,2,"南钢股份
北京南钢
100%
78.03%
547.09
3 亿元
1.15%
具体担保
期限以实
际签署协
议为准
否
否",exact,relationship,self,self,disclosed
